document_title,version,live_page_url,source_path,duplicates,reviewer,audited,fixed,notes
Manual Scanners,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/running_scanner,docs/platgovsalesforce/installingstrongpoint/running_scanner.md,,,,,
Sandbox Accounts,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/sandbox_dev_orgs,docs/platgovsalesforce/installingstrongpoint/sandbox_dev_orgs.md,,,,,
Set Access and Permissions,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/setting_access_permission,docs/platgovsalesforce/installingstrongpoint/setting_access_permission.md,,,,,
Set Up the Initial Scan,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/setting_up_initial_scan,docs/platgovsalesforce/installingstrongpoint/setting_up_initial_scan.md,,,,,
Run the Getting Started Wizard,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/using_getting_started_wizard,docs/platgovsalesforce/installingstrongpoint/using_getting_started_wizard.md,,,,,
Validate the Data,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/validating_data,docs/platgovsalesforce/installingstrongpoint/validating_data.md,,,,,
Integrations,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/integrations_overview,docs/platgovsalesforce/integrations/integrations_overview.md,,,,,
Find Change Requests from Jira,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegration/finding_change_requests_from_jira,docs/platgovsalesforce/integrations/jiraintegration/finding_change_requests_from_jira.md,,,,,
Jira Field Mapping,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegration/jira_field_map,docs/platgovsalesforce/integrations/jiraintegration/jira_field_map.md,,,,,
Set Up the Jira Integration,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegration/jira_integration,docs/platgovsalesforce/integrations/jiraintegration/jira_integration.md,,,,,
Jira Integration Troubleshooting,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegration/jira_troubleshooting,docs/platgovsalesforce/integrations/jiraintegration/jira_troubleshooting.md,,,,,
Jira Upload Add On Not Showing,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegration/jira_upload_addon_not_showing,docs/platgovsalesforce/integrations/jiraintegration/jira_upload_addon_not_showing.md,,,,,
Jira Walkthrough Example,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegration/jira_walkthrough_example,docs/platgovsalesforce/integrations/jiraintegration/jira_walkthrough_example.md,,,,,
Find Change Requests from Jira,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegrationForge/finding_change_requests_from_jira,docs/platgovsalesforce/integrations/jiraintegrationForge/finding_change_requests_from_jira.md,,,,,
Jira Field Mapping,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegrationForge/jira_field_map_forge,docs/platgovsalesforce/integrations/jiraintegrationForge/jira_field_map_forge.md,,,,,
Set Up the Jira Integration Forge,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegrationForge/jira_integration_forge,docs/platgovsalesforce/integrations/jiraintegrationForge/jira_integration_forge.md,,,,,
Migrating to the Salesforce Forge App,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegrationForge/jira_migrateToForge,docs/platgovsalesforce/integrations/jiraintegrationForge/jira_migrateToForge.md,,,,,
Jira Integration Troubleshooting,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegrationForge/jira_troubleshooting,docs/platgovsalesforce/integrations/jiraintegrationForge/jira_troubleshooting.md,,,,,
Jira Walkthrough Example,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/jiraintegrationForge/jira_walkthrough_example,docs/platgovsalesforce/integrations/jiraintegrationForge/jira_walkthrough_example.md,,,,,
Finding Change Requests from Zendesk,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/zendeskintegration/finding_change_requests_from_zendesk,docs/platgovsalesforce/integrations/zendeskintegration/finding_change_requests_from_zendesk.md,,,,,
Approval Process - Zendesk Integration,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/zendeskintegration/zendesk_approval_process,docs/platgovsalesforce/integrations/zendeskintegration/zendesk_approval_process.md,,,,,
Platform Governance for Salesforce - Zendesk Integration,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/zendeskintegration/zendesk_integration,docs/platgovsalesforce/integrations/zendeskintegration/zendesk_integration.md,,,,,
Zendesk Walkthrough Example,current,https://docs.netwrix.com/docs/platgovsalesforce/integrations/zendeskintegration/zendesk_walkthrough_example,docs/platgovsalesforce/integrations/zendeskintegration/zendesk_walkthrough_example.md,,,,,
Launch Platform Governance for Salesforce,current,https://docs.netwrix.com/docs/platgovsalesforce/navigate_strongpoint,docs/platgovsalesforce/navigate_strongpoint.md,,,,,
Release 7.0,current,https://docs.netwrix.com/docs/platgovsalesforce/release_7_0,docs/platgovsalesforce/release_7_0/index.md,,,,,
Deployment Logs,current,https://docs.netwrix.com/docs/platgovsalesforce/releasemanagement/deployment_logs,docs/platgovsalesforce/releasemanagement/deployment_logs.md,,,,,
Deployments,current,https://docs.netwrix.com/docs/platgovsalesforce/releasemanagement/deployments,docs/platgovsalesforce/releasemanagement/deployments.md,,,,,
Multiple Environment Deployment Tracking,current,https://docs.netwrix.com/docs/platgovsalesforce/releasemanagement/multiple_env_deployment_tracking,docs/platgovsalesforce/releasemanagement/multiple_env_deployment_tracking.md,,,,,
Multiple Environment Deployments,current,https://docs.netwrix.com/docs/platgovsalesforce/releasemanagement/multiple_environments,docs/platgovsalesforce/releasemanagement/multiple_environments.md,,,,,
Release Management Overview,current,https://docs.netwrix.com/docs/platgovsalesforce/releasemanagement/release_management_overview,docs/platgovsalesforce/releasemanagement/release_management_overview.md,,,,,
Rollback,current,https://docs.netwrix.com/docs/platgovsalesforce/releasemanagement/rollback,docs/platgovsalesforce/releasemanagement/rollback.md,,,,,
Environment Compare Logs,current,https://docs.netwrix.com/docs/platgovsalesforce/reports/deployment_logs_environment_compare,docs/platgovsalesforce/reports/deployment_logs_environment_compare.md,,,,,
Deployments with Failures,current,https://docs.netwrix.com/docs/platgovsalesforce/reports/deployment_logs_failures,docs/platgovsalesforce/reports/deployment_logs_failures.md,,,,,
Deployments Pending Approval Report,current,https://docs.netwrix.com/docs/platgovsalesforce/reports/deployment_logs_pending_approval,docs/platgovsalesforce/reports/deployment_logs_pending_approval.md,,,,,
Rollback Logs,current,https://docs.netwrix.com/docs/platgovsalesforce/reports/deployment_logs_rollback,docs/platgovsalesforce/reports/deployment_logs_rollback.md,,,,,
Success Deployments,current,https://docs.netwrix.com/docs/platgovsalesforce/reports/deployment_logs_success,docs/platgovsalesforce/reports/deployment_logs_success.md,,,,,
Reports,current,https://docs.netwrix.com/docs/platgovsalesforce/reports/reports_overview,docs/platgovsalesforce/reports/reports_overview.md,,,,,
Daily Scan Configuration,current,https://docs.netwrix.com/docs/platgovsalesforce/scanner/daily_scan,docs/platgovsalesforce/scanner/daily_scan.md,,,,,
FastScan Feature,current,https://docs.netwrix.com/docs/platgovsalesforce/scanner/FastScan,docs/platgovsalesforce/scanner/FastScan.md,,,,,
Field Level Security Scanner,current,https://docs.netwrix.com/docs/platgovsalesforce/scanner/field_level_scanner,docs/platgovsalesforce/scanner/field_level_scanner.md,,,,,
Manual Scanners,current,https://docs.netwrix.com/docs/platgovsalesforce/scanner/running_scanner,docs/platgovsalesforce/scanner/running_scanner.md,,,,,
Scanner Overview,current,https://docs.netwrix.com/docs/platgovsalesforce/scanner/scanner_overview,docs/platgovsalesforce/scanner/scanner_overview.md,,,,,
