document_title,version,live_page_url,source_path,duplicates,reviewer,audited,fixed,notes
Register Agents,current,https://docs.netwrix.com/docs/changetracker/api/register-agents,docs/changetracker/api/register-agents.md,,,,,
Detail Tab,current,https://docs.netwrix.com/docs/changetracker/baseline/detailtab,docs/changetracker/baseline/detailtab.md,,,,,
Manage Tab,current,https://docs.netwrix.com/docs/changetracker/baseline/managetab,docs/changetracker/baseline/managetab.md,,,,,
Baseline,current,https://docs.netwrix.com/docs/changetracker/baseline/overview,docs/changetracker/baseline/overview.md,,,,,
Baseline Overview Tab,current,https://docs.netwrix.com/docs/changetracker/baseline/overviewtab,docs/changetracker/baseline/overviewtab.md,,,,,
Baseline Policy Rule Options: Rule Creation Options,current,https://docs.netwrix.com/docs/changetracker/baseline/policywizard/policyruleoptions,docs/changetracker/baseline/policywizard/policyruleoptions.md,,,,,
Security and Change Control Using Baseline Policies,current,https://docs.netwrix.com/docs/changetracker/baseline/securitychangecontrol,docs/changetracker/baseline/securitychangecontrol.md,,,,,
Cloud Tracker Reports,current,https://docs.netwrix.com/docs/changetracker/cloud/cloudtrackerreports,docs/changetracker/cloud/cloudtrackerreports.md,,,,,
Detail Tab,current,https://docs.netwrix.com/docs/changetracker/cloud/detailtab,docs/changetracker/cloud/detailtab.md,,,,,
Cloud Policy Tab,current,https://docs.netwrix.com/docs/changetracker/cloud/policytab,docs/changetracker/cloud/policytab/policytab.md,,,,,
Compliance,current,https://docs.netwrix.com/docs/changetracker/compliance,docs/changetracker/compliance/compliance.md,,,,,
Details Tab,current,https://docs.netwrix.com/docs/changetracker/compliance/compliancedetails,docs/changetracker/compliance/compliancedetails.md,,,,,
Overview Tab,current,https://docs.netwrix.com/docs/changetracker/compliance/complianceoverviewtab,docs/changetracker/compliance/complianceoverviewtab.md,,,,,
Component Releases,current,https://docs.netwrix.com/docs/changetracker/componentreleases,docs/changetracker/componentreleases.md,,,,,
Agent First Run,current,https://docs.netwrix.com/docs/changetracker/install/agent/firstrun,docs/changetracker/install/agent/firstrun.md,,,,,
HubDetails.xml File,current,https://docs.netwrix.com/docs/changetracker/install/agent/hubdetailsfile,docs/changetracker/install/agent/hubdetailsfile.md,,,,,
Rolling Log File,current,https://docs.netwrix.com/docs/changetracker/install/agent/rollinglogfile,docs/changetracker/install/agent/rollinglogfile.md,,,,,
