source_path,lines_changed_since_audit_start
docs/recoveryforactivedirectory/2.6/admin/activedirectory/overview.md,0
docs/recoveryforactivedirectory/2.6/admin/activedirectory/recover.md,0
docs/recoveryforactivedirectory/2.6/admin/activedirectory/rollback.md,0
docs/recoveryforactivedirectory/2.6/admin/audit.md,0
docs/recoveryforactivedirectory/2.6/admin/configuration/dataretention.md,0
docs/recoveryforactivedirectory/2.6/admin/configuration/domain.md,0
docs/recoveryforactivedirectory/2.6/admin/configuration/integration.md,0
docs/recoveryforactivedirectory/2.6/admin/configuration/licensing.md,0
docs/recoveryforactivedirectory/2.6/admin/configuration/notifications.md,0
docs/recoveryforactivedirectory/2.6/admin/configuration/overview.md,0
docs/recoveryforactivedirectory/2.6/admin/configuration/roles.md,0
docs/recoveryforactivedirectory/2.6/admin/configuremfa.md,0
docs/recoveryforactivedirectory/2.6/admin/domainbackupconfig.md,0
docs/recoveryforactivedirectory/2.6/admin/forest/forest.md,0
docs/recoveryforactivedirectory/2.6/admin/forest/recover.md,0
docs/recoveryforactivedirectory/2.6/admin/navigation.md,0
docs/recoveryforactivedirectory/2.6/admin/overview.md,0
docs/recoveryforactivedirectory/2.6/gettingstarted.md,0
docs/recoveryforactivedirectory/2.6/index.md,0
docs/recoveryforactivedirectory/2.6/install/application.md,0
docs/recoveryforactivedirectory/2.6/install/configurationutility.md,0
docs/recoveryforactivedirectory/2.6/install/firstlaunch.md,0
docs/recoveryforactivedirectory/2.6/install/installation.md,0
docs/recoveryforactivedirectory/2.6/install/login.md,0
docs/recoveryforactivedirectory/2.6/install/overview.md,0
docs/recoveryforactivedirectory/2.6/install/upgrade.md,0
docs/recoveryforactivedirectory/2.6/requirements/firewallrules.md,0
docs/recoveryforactivedirectory/2.6/requirements/overview.md,0
docs/recoveryforactivedirectory/2.6/requirements/rsatextension.md,0
docs/recoveryforactivedirectory/2.6/requirements/server.md,0
docs/recoveryforactivedirectory/2.6/requirements/sqlserver.md,0
docs/recoveryforactivedirectory/2.6/requirements/targetdomain.md,0
docs/recoveryforactivedirectory/2.6/requirements/targetserver.md,0
docs/recoveryforactivedirectory/2.6/rsatextension/overview.md,0
docs/recoveryforactivedirectory/2.6/rsatextension/recovery.md,0
docs/recoveryforactivedirectory/2.6/rsatextension/rollback.md,0
docs/recoveryforactivedirectory/2.6/troubleshooting/credentialpasswords/credentialpasswords.md,0
docs/recoveryforactivedirectory/2.6/troubleshooting/credentialpasswords/serverbackupaccount.md,0
docs/recoveryforactivedirectory/2.6/troubleshooting/credentialpasswords/sqlserverserviceaccount.md,0
docs/recoveryforactivedirectory/2.6/troubleshooting/troubleshooting.md,0
docs/recoveryforactivedirectory/2.6/usecases.md,0
