document_title,version,live_page_url,source_path,duplicates,reviewer,audited,accurate,complete,notes
SoD Test Case Scenarios,current,https://docs.netwrix.com/docs/platgovnetsuite/sod/sod_test_case_scenarios,docs/platgovnetsuite/sod/sod_test_case_scenarios.md,,,,,,
SoD Testing Mode,current,https://docs.netwrix.com/docs/platgovnetsuite/sod/sod_testing,docs/platgovnetsuite/sod/sod_testing.md,,,,,,
Integration API,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/api_overview,docs/platgovnetsuite/ticketingintegrations/apioverview/api_overview.md,,,,,,
Add/Update Customizations in a Change Request,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/add_update_change_request,docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/add_update_change_request.md,,,,,,
Change Request API,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/change_request_api,docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/change_request_api.md,,,,,,
Delete Customizations in a Change Request,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/delete_customizations_change_request,docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/delete_customizations_change_request.md,,,,,,
Get Change Request,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/get_change_request,docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/get_change_request.md,,,,,,
Get ERD,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/get_erd,docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/get_erd.md,,,,,,
Get Impact Analysis,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/get_impact_analysis,docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/get_impact_analysis.md,,,,,,
Push Change Request,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/push_change_request,docs/platgovnetsuite/ticketingintegrations/apioverview/changerequestapi/push_change_request.md,,,,,,
Customizations API,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/customizationsapi/customizations_api,docs/platgovnetsuite/ticketingintegrations/apioverview/customizationsapi/customizations_api.md,,,,,,
Get Customizations,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/apioverview/customizationsapi/get_customizations,docs/platgovnetsuite/ticketingintegrations/apioverview/customizationsapi/get_customizations.md,,,,,,
Jira Forge FAQs and Basic Troubleshooting,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/jiraforgeintegration/jira_forge_faq,docs/platgovnetsuite/ticketingintegrations/jiraforgeintegration/jira_forge_faq.md,,,,,,
Jira Forge,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/jiraforgeintegration/jira_forge_integration,docs/platgovnetsuite/ticketingintegrations/jiraforgeintegration/jira_forge_integration.md,,,,,,
Jira Forge Set Up,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/jiraforgeintegration/jira_forge_set_up,docs/platgovnetsuite/ticketingintegrations/jiraforgeintegration/jira_forge_set_up.md,,,,,,
Jira Forge Walkthrough,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/jiraforgeintegration/jira_forge_walkthrough,docs/platgovnetsuite/ticketingintegrations/jiraforgeintegration/jira_forge_walkthrough.md,,,,,,
Finding Change Requests from Jira,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/jiraintegration/finding_change_requests_approved_from_jira,docs/platgovnetsuite/ticketingintegrations/jiraintegration/finding_change_requests_approved_from_jira.md,,,,,,
Jira,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/jiraintegration/jira_integration,docs/platgovnetsuite/ticketingintegrations/jiraintegration/jira_integration.md,,,,,,
Jira Upload Add On Not Showing,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/jiraintegration/jira_upload_addon_not_showing,docs/platgovnetsuite/ticketingintegrations/jiraintegration/jira_upload_addon_not_showing.md,,,,,,
Jira Walkthrough Example,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/jiraintegration/jira_walkthrough_example,docs/platgovnetsuite/ticketingintegrations/jiraintegration/jira_walkthrough_example.md,,,,,,
Process Issues,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/process_issues,docs/platgovnetsuite/ticketingintegrations/process_issues.md,,,,,,
Creating a Ticket and Change Request for ServiceNow,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/servicenowintegration/servicenow_create_ticket,docs/platgovnetsuite/ticketingintegrations/servicenowintegration/servicenow_create_ticket.md,,,,,,
Installing ServiceNow in NetSuite,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/servicenowintegration/servicenow_install_configure_netsuite,docs/platgovnetsuite/ticketingintegrations/servicenowintegration/servicenow_install_configure_netsuite.md,,,,,,
ServiceNow,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/servicenowintegration/servicenow_integration,docs/platgovnetsuite/ticketingintegrations/servicenowintegration/servicenow_integration.md,,,,,,
Ticketing System Integrations,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/ticketing_integrations,docs/platgovnetsuite/ticketingintegrations/ticketing_integrations.md,,,,,,
Zendesk,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/zendeskintegration/zendesk_integration,docs/platgovnetsuite/ticketingintegrations/zendeskintegration/zendesk_integration.md,,,,,,
Zendesk Walkthrough Example,current,https://docs.netwrix.com/docs/platgovnetsuite/ticketingintegrations/zendeskintegration/zendesk_walkthrough_example,docs/platgovnetsuite/ticketingintegrations/zendeskintegration/zendesk_walkthrough_example.md,,,,,,
Strongpoint Spider,current,https://docs.netwrix.com/docs/platgovnetsuite/tools/running_the_spider,docs/platgovnetsuite/tools/running_the_spider.md,,,,,,
Standard Field Impact Analysis,current,https://docs.netwrix.com/docs/platgovnetsuite/tools/standard_field_impact_analysis,docs/platgovnetsuite/tools/standard_field_impact_analysis.md,,,,,,
Tools Overview,current,https://docs.netwrix.com/docs/platgovnetsuite/tools/tools_overview,docs/platgovnetsuite/tools/tools_overview.md,,,,,,
Accessing User Access Review,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/access_app,docs/platgovnetsuite/uar/access_app.md,,,,,,
Additional Reviewer Membership Reviews,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/addrevieweroverview/add_reviewer_membership_reviews,docs/platgovnetsuite/uar/addrevieweroverview/add_reviewer_membership_reviews.md,,,,,,
Additional Reviewer Overview,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/addrevieweroverview/add_reviewer_overview,docs/platgovnetsuite/uar/addrevieweroverview/add_reviewer_overview.md,,,,,,
User Access Reviews List,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/addrevieweroverview/add_reviewer_uar_list,docs/platgovnetsuite/uar/addrevieweroverview/add_reviewer_uar_list.md,,,,,,
UAR History,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/addrevieweroverview/uar_history,docs/platgovnetsuite/uar/addrevieweroverview/uar_history.md,,,,,,
UAR Admin,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/adminoverview/admin_overview,docs/platgovnetsuite/uar/adminoverview/admin_overview.md,,,,,,
Owner List,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/adminoverview/admin_owner_list,docs/platgovnetsuite/uar/adminoverview/admin_owner_list.md,,,,,,
Pending Role Assignments,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/adminoverview/admin_pending_assignments,docs/platgovnetsuite/uar/adminoverview/admin_pending_assignments.md,,,,,,
Administrator UAR List,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/adminoverview/admin_uar_list,docs/platgovnetsuite/uar/adminoverview/admin_uar_list.md,,,,,,
Changing a Single Review Status,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/adminoverview/changing_review_status,docs/platgovnetsuite/uar/adminoverview/changing_review_status.md,,,,,,
Membership Reviews,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/adminoverview/owner_membership_reviews,docs/platgovnetsuite/uar/adminoverview/owner_membership_reviews.md,,,,,,
Permission Reviews,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/adminoverview/owner_permission_reviews,docs/platgovnetsuite/uar/adminoverview/owner_permission_reviews.md,,,,,,
UAR History,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/adminoverview/uar_history,docs/platgovnetsuite/uar/adminoverview/uar_history.md,,,,,,
UAR Auditor,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/auditoroverview/auditor_overview,docs/platgovnetsuite/uar/auditoroverview/auditor_overview.md,,,,,,
Owner List,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/auditoroverview/owner_uar_list,docs/platgovnetsuite/uar/auditoroverview/owner_uar_list.md,,,,,,
UAR History,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/auditoroverview/uar_history,docs/platgovnetsuite/uar/auditoroverview/uar_history.md,,,,,,
Installing User Access Review,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/install_app,docs/platgovnetsuite/uar/install_app.md,,,,,,
Membership Review,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/owneroverview/owner_membership_reviews,docs/platgovnetsuite/uar/owneroverview/owner_membership_reviews.md,,,,,,
UAR Owner,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/owneroverview/owner_overview,docs/platgovnetsuite/uar/owneroverview/owner_overview.md,,,,,,
Permission Reviews,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/owneroverview/owner_permission_reviews,docs/platgovnetsuite/uar/owneroverview/owner_permission_reviews.md,,,,,,
Owner User Access Reviews List,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/owneroverview/owner_uar_list,docs/platgovnetsuite/uar/owneroverview/owner_uar_list.md,,,,,,
My Roles,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/owneroverview/owner_uar_roles,docs/platgovnetsuite/uar/owneroverview/owner_uar_roles.md,,,,,,
UAR History,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/owneroverview/uar_history,docs/platgovnetsuite/uar/owneroverview/uar_history.md,,,,,,
Welcome,current,https://docs.netwrix.com/docs/platgovnetsuite/uar/uar_overview,docs/platgovnetsuite/uar/uar_overview.md,,,,,,
User Management,current,https://docs.netwrix.com/docs/platgovnetsuite/user_managment_overview,docs/platgovnetsuite/user_managment_overview.md,,,,,,
What is documented,current,https://docs.netwrix.com/docs/platgovnetsuite/what_does_strongpoint_document,docs/platgovnetsuite/what_does_strongpoint_document.md,,,,,,
What is a spider,current,https://docs.netwrix.com/docs/platgovnetsuite/what_is_a_spider,docs/platgovnetsuite/what_is_a_spider.md,,,,,,
