document_title,version,live_page_url,source_path,also_covers,reviewer,audited,fixed,corrections,notes
Reporting Capabilities,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/dataanalysisoverview/reportingintro/reporting_intro,docs/dataclassification/5.6.2/dataanalysisoverview/reportingintro/reporting_intro.md,,,,,,
Classification Reports,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/dataanalysisoverview/reportingintro/reportingbuiltin/classification_reports,docs/dataclassification/5.6.2/dataanalysisoverview/reportingintro/reportingbuiltin/classification_reports.md,,,,,,
Clue Building Reports,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/dataanalysisoverview/reportingintro/reportingbuiltin/clue_building_reports,docs/dataclassification/5.6.2/dataanalysisoverview/reportingintro/reportingbuiltin/clue_building_reports.md,,,,,,
Document Reports,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/dataanalysisoverview/reportingintro/reportingbuiltin/documentation_reports,docs/dataclassification/5.6.2/dataanalysisoverview/reportingintro/reportingbuiltin/documentation_reports.md,,,,,,
Built-in Reports,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/dataanalysisoverview/reportingintro/reportingbuiltin/reporting_built-in,docs/dataclassification/5.6.2/dataanalysisoverview/reportingintro/reportingbuiltin/reporting_built-in.md,,,,,,
System Reports,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/dataanalysisoverview/reportingintro/reportingbuiltin/system_reports,docs/dataclassification/5.6.2/dataanalysisoverview/reportingintro/reportingbuiltin/system_reports.md,,,,,,
Top Reports and Charts,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/dataanalysisoverview/reportingintro/reportingbuiltin/top_reports_charts,docs/dataclassification/5.6.2/dataanalysisoverview/reportingintro/reportingbuiltin/top_reports_charts.md,,,,,,
Features and Benefits,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/appliance/ndc_overview,docs/dataclassification/5.6.2/deployment/appliance/ndc_overview.md,,,,,,
Configure Virtual Appliance,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/appliance/nvap_configure_vm_script,docs/dataclassification/5.6.2/deployment/appliance/nvap_configure_vm_script.md,,,,,,
Import Virtual Machine from Image to Hyper-V,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/appliance/nvap_deploy_hyperv,docs/dataclassification/5.6.2/deployment/appliance/nvap_deploy_hyperv.md,,,,,,
Import Virtual Machine from Image to VMware,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/appliance/nvap_deploy_vmware,docs/dataclassification/5.6.2/deployment/appliance/nvap_deploy_vmware.md,,,,,,
Virtual Deployment,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/appliance/nvap_overview,docs/dataclassification/5.6.2/deployment/appliance/nvap_overview.md,,,,,,
Requirements to Deploy Virtual Appliance,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/appliance/nvap_system_requirments,docs/dataclassification/5.6.2/deployment/appliance/nvap_system_requirments.md,,,,,,
Dropbox,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/configinfrastructure/config_dropbox,docs/dataclassification/5.6.2/deployment/configinfrastructure/config_dropbox.md,,,,,,
Configure IT Infrastructure,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/configinfrastructure/config_infrastructure_intro,docs/dataclassification/5.6.2/deployment/configinfrastructure/config_infrastructure_intro.md,,,,,,
NFS File Share,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/configinfrastructure/config_nfs_fs,docs/dataclassification/5.6.2/deployment/configinfrastructure/config_nfs_fs.md,,,,,,
SharePoint Online,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/configinfrastructure/config_spo_modern_auth,docs/dataclassification/5.6.2/deployment/configinfrastructure/config_spo_modern_auth.md,,,,,,
Box,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/configinfrastructure/configure_box,docs/dataclassification/5.6.2/deployment/configinfrastructure/configure_box.md,,,,,,
G Suite and Google Drive,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/configinfrastructure/configure_gdrive,docs/dataclassification/5.6.2/deployment/configinfrastructure/configure_gdrive.md,,,,,,
Microsoft Exchange,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/configinfrastructure/configureexchange/configure_exchange,docs/dataclassification/5.6.2/deployment/configinfrastructure/configureexchange/configure_exchange.md,,,,,,
Create Azure AD app for Modern Authentication,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/configinfrastructure/configureexchange/create_azureapp_exchangeonline_mfa,docs/dataclassification/5.6.2/deployment/configinfrastructure/configureexchange/create_azureapp_exchangeonline_mfa.md,,,,,,
MIP Labels,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/configinfrastructure/mip_configure_infrastructure,docs/dataclassification/5.6.2/deployment/configinfrastructure/mip_configure_infrastructure.md,,,,,,
Data Storages and Sizing,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/deploymentplan/datastorages/data_storages,docs/dataclassification/5.6.2/deployment/deploymentplan/datastorages/data_storages.md,,,,,,
NDC Server Cluster,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/deploymentplan/ndcserverclient/distributed_query_server_mode,docs/dataclassification/5.6.2/deployment/deploymentplan/ndcserverclient/distributed_query_server_mode.md,,,,,,
NDC Server,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/deploymentplan/ndcserverclient/ndc_server_client,docs/dataclassification/5.6.2/deployment/deploymentplan/ndcserverclient/ndc_server_client.md,,,,,,
Deployment Planning,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/deploymentplan/overview,docs/dataclassification/5.6.2/deployment/deploymentplan/overview.md,,,,,,
Configure Health Alerting,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/initialconfig/initial_config_health,docs/dataclassification/5.6.2/deployment/initialconfig/initial_config_health.md,,,,,,
Select Processing Mode,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/initialconfig/initial_config_modes,docs/dataclassification/5.6.2/deployment/initialconfig/initial_config_modes.md,,,,,,
Processing Settings,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/initialconfig/initial_config_processing-settings,docs/dataclassification/5.6.2/deployment/initialconfig/initial_config_processing-settings.md,,,,,,
Review Your Configuration,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/initialconfig/initial_config_summary,docs/dataclassification/5.6.2/deployment/initialconfig/initial_config_summary.md,,,,,,
Add Taxonomy,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/initialconfig/initial_config_taxonomies,docs/dataclassification/5.6.2/deployment/initialconfig/initial_config_taxonomies.md,,,,,,
Security,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/initialconfig/initial_config_users,docs/dataclassification/5.6.2/deployment/initialconfig/initial_config_users.md,,,,,,
Initial Product Configuration,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/initialconfig/initial_config,docs/dataclassification/5.6.2/deployment/initialconfig/initial_config.md,,,,,,
Install Netwrix Data Classification,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/installation,docs/dataclassification/5.6.2/deployment/installation/installation.md,,,,,,
Configure NDC SQL database,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/installation/ndc_database,docs/dataclassification/5.6.2/deployment/installation/ndc_database.md,,,,,,
Accounts and Required Permissions,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/requirements/account_reqs,docs/dataclassification/5.6.2/deployment/requirements/account_reqs.md,,,,,,
Hardware Requirements,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/requirements/hardware_requirements,docs/dataclassification/5.6.2/deployment/requirements/hardware_requirements.md,,,,,,
Requirements to Install Netwrix Data Classification,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/requirements/requirements_intro,docs/dataclassification/5.6.2/deployment/requirements/requirements_intro.md,,,,,,
Software Requirements,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/requirements/software_requirements,docs/dataclassification/5.6.2/deployment/requirements/software_requirements.md,,,,,,
Supported Content Types,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/requirements/supported_content,docs/dataclassification/5.6.2/deployment/requirements/supported_content.md,,,,,,
Supported Data Sources,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/supported_sources,docs/dataclassification/5.6.2/deployment/supported_sources.md,,,,,,
Upgrade to the Latest Version,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/deployment/upgrade,docs/dataclassification/5.6.2/deployment/upgrade.md,,,,,,
Features and Benefits,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2,docs/dataclassification/5.6.2/index.md,,,,,,
How It Works,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/overview/how_it_works,docs/dataclassification/5.6.2/overview/how_it_works.md,,,,,,
Revision History,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/overview/revision_history,docs/dataclassification/5.6.2/overview/revision_history.md,,,,,,
